full_name,gsis_id,new_id
Chris Clemons,00-0021577,32013030-2d30-3032-3135-373726f55109
Israel Idonije,00-0021604,32013030-2d30-3032-3136-3034c0a4ca62
Leigh Bodden,00-0021612,32013030-2d30-3032-3136-3132ce88f5ff
Adam Goldberg,00-0021637,32013030-2d30-3032-3136-33371aa50d1f
Tracy White,00-0021645,32013030-2d30-3032-3136-34359720ba0c
Jerheme Urban,00-0021647,32013030-2d30-3032-3136-343729454914
Joselio Hanson,00-0021654,32013030-2d30-3032-3136-35342c1274da
Tony Romo,00-0021678,32013030-2d30-3032-3136-37385976e857
Shaun Smith,00-0021679,32013030-2d30-3032-3136-3739cc9d213c
Colin Cole,00-0021684,32013030-2d30-3032-3136-3834c0e515a8
Cullen Jenkins,00-0021706,32013030-2d30-3032-3137-3036af997e5c
Earnest Graham,00-0021755,32013030-2d30-3032-3137-3535b30e4514
Will Heller,00-0021756,32013030-2d30-3032-3137-3536a5788a2c
Ike Taylor,00-0021891,32013030-2d30-3032-3138-3931520754d4
David Diehl,00-0021922,32013030-2d30-3032-3139-3232d78ffde8
Donald Lee,00-0021929,32013030-2d30-3032-3139-3239b227c108
Kevin Walter,00-0021931,32013030-2d30-3032-3139-3331f67f1160
Josh Brown,00-0021940,32013030-2d30-3032-3139-3430674c3aa3
Frank Walker,00-0021943,32013030-2d30-3032-3139-34336b20b9ed
Chris Johnson,00-0021949,32013030-2d30-3032-3139-343932f22f1e
Bryan Scott,00-0021951,32013030-2d30-3032-3139-353111fc34c5
Asante Samuel,00-0021956,32013030-2d30-3032-3139-3536bf403d06
Jordan Black,00-0021959,32013030-2d30-3032-3139-3539720dc0d3
Jeremy Bridges,00-0021974,32013030-2d30-3032-3139-3734d80df135
Larry Johnson,00-0021976,32013030-2d30-3032-3139-37365d176f27
Osi Umenyiora,00-0021977,32013030-2d30-3032-3139-3737809adc08
Ty Warren,00-0021989,32013030-2d30-3032-3139-3839911f9ac9
Nick Barnett,00-0021990,32013030-2d30-3032-3139-39301ede33f0
Drayton Florence,00-0021994,32013030-2d30-3032-3139-393494e9e4b7
Chris Kelsay,00-0021995,32013030-2d30-3032-3139-393595021f5f
Cory Redding,00-0021998,32013030-2d30-3032-3139-39383c3e9b6d
Nate Burleson,00-0021999,32013030-2d30-3032-3139-3939a15b6bc8
Wayne Hunter,00-0022000,32013030-2d30-3032-3230-30301778ff34
Terrence McGee,00-0022008,32013030-2d30-3032-3230-303817b5114c
Nick Eason,00-0022010,32013030-2d30-3032-3230-313046db04f1
Dan Koppen,00-0022019,32013030-2d30-3032-3230-3139bf7c5120
Mario Haggan,00-0022034,32013030-2d30-3032-3230-3334b4c5dfac
Scott Shanle,00-0022040,32013030-2d30-3032-3230-3430ae9aa471
Andre Johnson,00-0022044,32013030-2d30-3032-3230-343499436c0c
Terence Newman,00-0022045,32013030-2d30-3032-3230-343542d9520c
